Gene_Symbol,GeneID,Description
DIRAS3,9077,"DIRAS family, GTP-binding RAS-like 3"
NECAP1,25977,NECAP endocytosis associated 1
DDB1,1642,"damage-specific DNA binding protein 1, 127kDa"
ANKRD50,57182,ankyrin repeat domain 50
LMAN2,10960,"lectin, mannose-binding 2"
LOC220077,220077,docking protein 1-like protein
SIRPG,55423,signal-regulatory protein gamma
C7orf16,10842,chromosome 7 open reading frame 16
FGFBP1,9982,fibroblast growth factor binding protein 1
DLG2,1740,"discs, large homolog 2, chapsyn-110"
PRRG1,5638,proline rich Gla (G-carboxyglutamic acid) 1
LOC374491,374491,TPTE and PTEN homologous inositol lipid phosphatase pseudogene
RBM5,10181,RNA binding motif protein 5
PRMT2,3275,protein arginine methyltransferase 2
TNRC8,27325,trinucleotide repeat containing 8
MIA,8190,melanoma inhibitory activity
HMOX2,3163,heme oxygenase (decycling) 2
DDHD2,23259,DDHD domain containing 2
NRP1,8829,neuropilin 1
SLC38A3,10991,"solute carrier family 38, member 3"
ARHGEF16,27237,Rho guanine exchange factor (GEF) 16
ECOP,81552,EGFR-coamplified and overexpressed protein
KCNMB2,10242,"potassium large conductance calcium-activated channel, subfamily M, beta member 2"
RPS29,6235,ribosomal protein S29
STXBP4,252983,syntaxin binding protein 4
KRT16,3868,keratin 16 (focal non-epidermolytic palmoplantar keratoderma)
DCDC5,196296,doublecortin domain containing 5
ATP5J2,9551,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F2"
PAX9,5083,paired box 9
ETAA1,54465,Ewing tumor-associated antigen 1
SCN10A,6336,"sodium channel, voltage-gated, type X, alpha subunit"
LDB2,9079,LIM domain binding 2
MAP2K3,5606,mitogen-activated protein kinase kinase 3
STARD10,10809,StAR-related lipid transfer (START) domain containing 10
NAPSB,256236,napsin B aspartic peptidase pseudogene
FGR,2268,Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog
ACTN3,89,"actinin, alpha 3"
STS-1,84959,Cbl-interacting protein Sts-1
REST,5978,RE1-silencing transcription factor
RPL3L,6123,ribosomal protein L3-like
LOC90110,90110,hypothetical protein LOC90110
EIF3J,8669,"eukaryotic translation initiation factor 3, subunit J"
MKNK2,2872,MAP kinase interacting serine/threonine kinase 2
TM7SF3,51768,transmembrane 7 superfamily member 3
GDF10,2662,growth differentiation factor 10
USP5,8078,ubiquitin specific peptidase 5 (isopeptidase T)
WNK2,65268,WNK lysine deficient protein kinase 2
GRM6,2916,"glutamate receptor, metabotropic 6"
C17orf72,92340,chromosome 17 open reading frame 72
ST8SIA1,6489,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1"
PPID,5481,peptidylprolyl isomerase D (cyclophilin D)
CDX1,1044,caudal type homeobox 1
SLC5A3,6526,"solute carrier family 5 (inositol transporters), member 3"
MYOG,4656,myogenin (myogenic factor 4)
NIPA1,123606,non imprinted in Prader-Willi/Angelman syndrome 1
GPNMB,10457,glycoprotein (transmembrane) nmb
RAB25,57111,"RAB25, member RAS oncogene family"
KIAA1430,57587,KIAA1430
PSMB9,5698,"proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional peptidase 2)"
ACAA1,30,acetyl-Coenzyme A acyltransferase 1 (peroxisomal 3-oxoacyl-Coenzyme A thiolase)
SAMD9,54809,sterile alpha motif domain containing 9
SDHB,6390,"succinate dehydrogenase complex, subunit B, iron sulfur (Ip)"
GGH,8836,"gamma-glutamyl hydrolase (conjugase, folylpolygammaglutamyl hydrolase)"
RAPGEF5,9771,Rap guanine nucleotide exchange factor (GEF) 5
CXCL1,2919,"chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)"
BASP1,10409,"brain abundant, membrane attached signal protein 1"
GPR153,387509,G protein-coupled receptor 153
DSC1,1823,desmocollin 1
CLU,1191,clusterin
MB,4151,myoglobin
Parva,57341,"parvin, alpha"
TIAL1,7073,TIA1 cytotoxic granule-associated RNA binding protein-like 1
POMC,5443,proopiomelanocortin (adrenocorticotropin/ beta-lipotropin/ alpha-melanocyte stimulating hormone/ beta-melanocyte stimulating hormone/ beta-endorphin)
YAP1,10413,"Yes-associated protein 1, 65kDa"
DDOST,1650,dolichyl-diphosphooligosaccharide-protein glycosyltransferase
SGTA,6449,"small glutamine-rich tetratricopeptide repeat (TPR)-containing, alpha"
LOC338758,338758,hypothetical protein LOC338758
LOC387647,387647,patched domain containing 3 pseudogene
ADAM22,53616,ADAM metallopeptidase domain 22
TNNT1,7138,"troponin T type 1 (skeletal, slow)"
DBI,1622,"diazepam binding inhibitor (GABA receptor modulator, acyl-Coenzyme A binding protein)"
ARL4D,379,ADP-ribosylation factor-like 4D
KIF3C,3797,kinesin family member 3C
DGKE,8526,"diacylglycerol kinase, epsilon 64kDa"
C1orf68,553168,chromosome 1 open reading frame 68
SPRY1,10252,"sprouty homolog 1, antagonist of FGF signaling"
STOML1,9399,stomatin (EPB72)-like 1
C8orf73,642475,chromosome 8 open reading frame 73
NFKBIE,4794,"nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon"
NXPH1,30010,neurexophilin 1
SLC24A1,9187,"solute carrier family 24 (sodium/potassium/calcium exchanger), member 1"
DPH3,285381,"DPH3, KTI11 homolog"
TBPL1,9519,TBP-like 1
DRD4,1815,dopamine receptor D4
PLA1A,51365,phospholipase A1 member A
GALE,2582,UDP-galactose-4-epimerase
PLP2,5355,proteolipid protein 2 (colonic epithelium-enriched)
PDE6G,5148,"phosphodiesterase 6G, cGMP-specific, rod, gamma"
ZMIZ2,83637,"zinc finger, MIZ-type containing 2"
STX1A,6804,syntaxin 1A (brain)
CNBP,7555,"CCHC-type zinc finger, nucleic acid binding protein"
ALDOB,229,"aldolase B, fructose-bisphosphate"
GTF2B,2959,general transcription factor IIB
C1orf58,148362,chromosome 1 open reading frame 58
HPN,3249,"hepsin (transmembrane protease, serine 1)"
CC2D2A,57545,coiled-coil and C2 domain containing 2A
ARIH2,10425,ariadne homolog 2
NPY,4852,neuropeptide Y
HTT,3064,huntingtin (Huntington disease protein)
PAGE1,8712,"P antigen family, member 1 (prostate associated)"
E2F5,1875,"E2F transcription factor 5, p130-binding"
RER1,11079,RER1 retention in endoplasmic reticulum 1 homolog
MYO7A,4647,myosin VIIA
SPOPL,339745,speckle-type POZ protein-like
FLJ44968,374887,FLJ44968 protein
SLC35D3,340146,"solute carrier family 35, member D3"
TPSG1,25823,tryptase gamma 1
POLD1,5424,"polymerase (DNA directed), delta 1, catalytic subunit 125kDa"
GPRC5B,51704,"G protein-coupled receptor, family C, group 5, member B"
SELP,6403,"selectin P (granule membrane protein 140kDa, antigen CD62)"
FLOT1,10211,flotillin 1
C14orf109,26175,chromosome 14 open reading frame 109
LCE6A,448835,late cornified envelope 6A
AQP7,364,aquaporin 7
PDZK1,5174,PDZ domain containing 1
TMEM63B,55362,transmembrane protein 63B
MGAT1,4245,"mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase"
STBD1,8987,starch binding domain 1
Hpse2,54529,heparanase 2
RP1-127L4.6,150297,hypothetical protein LOC150297
MUT,4594,methylmalonyl Coenzyme A mutase
TOM1L1,10040,target of myb1 (chicken)-like 1
B3GALT2,8707,"UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 2"
MYLIP,29116,myosin regulatory light chain interacting protein
WBP11,51729,WW domain binding protein 11
KIR2DL3,3804,"killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 3"
FBXO40,51725,F-box protein 40
FCGBP,8857,Fc fragment of IgG binding protein
GCM2,9247,glial cells missing homolog 2
SIN3B,23309,"SIN3 homolog B, transcription regulator"
PDCD11,22984,programmed cell death 11
LOC647979,647979,hypothetical protein LOC647979
CP,1356,ceruloplasmin (ferroxidase)
FAM102A,399665,"family with sequence similarity 102, member A"
TAF4B,6875,"TAF4b RNA polymerase II, TATA box binding protein (TBP)-associated factor, 105kDa"
SV2B,9899,synaptic vesicle glycoprotein 2B
CRYGB,1419,"crystallin, gamma B"
ABCA7,10347,"ATP-binding cassette, sub-family A (ABC1), member 7"
HIST1H4I,8294,"histone cluster 1, H4i"
SPOCK2,9806,"sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2"
ATP6V1E1,529,"ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E1"
GLIPR1,11010,GLI pathogenesis-related 1 (glioma)
BCAR1,9564,breast cancer anti-estrogen resistance 1
LOC729615,729615,hypothetical protein LOC729615
VAV1,7409,vav 1 guanine nucleotide exchange factor
ZNF816A,125893,zinc finger protein 816A
DNAH17,8632,"dynein, axonemal, heavy chain 17"
PITPNA,5306,"phosphatidylinositol transfer protein, alpha"
TRIP12,9320,thyroid hormone receptor interactor 12
BZW1,9689,basic leucine zipper and W2 domains 1
RAB9B,51209,"RAB9B, member RAS oncogene family"
SH3GL3,6457,SH3-domain GRB2-like 3
NINJ2,4815,ninjurin 2
BCAS2,10286,breast carcinoma amplified sequence 2
TSPAN5,10098,tetraspanin 5
FAM110C,642273,"family with sequence similarity 110, member C"
CLEC3B,7123,"C-type lectin domain family 3, member B"
MDH1,4190,"malate dehydrogenase 1, NAD (soluble)"
PIAS1,8554,"protein inhibitor of activated STAT, 1"
KLRK1,22914,"killer cell lectin-like receptor subfamily K, member 1"
AKAP3,10566,A kinase (PRKA) anchor protein 3
TMEM136,219902,transmembrane protein 136
RHBDL2,54933,"rhomboid, veinlet-like 2"
TSPAN15,23555,tetraspanin 15
AIRE,326,autoimmune regulator
CR2,1380,complement component (3d/Epstein Barr virus) receptor 2
PDE4C,5143,"phosphodiesterase 4C, cAMP-specific (phosphodiesterase E1 dunce homolog, Drosophila)"
C1R,715,"complement component 1, r subcomponent"
NELL1,4745,NEL-like 1 (chicken)
SMR3B,10879,submaxillary gland androgen regulated protein 3 homolog B (mouse)
LRRIQ1,84125,leucine-rich repeats and IQ motif containing 1
SLC39A4,55630,"solute carrier family 39 (zinc transporter), member 4"
PSORS1C1,170679,psoriasis susceptibility 1 candidate 1
RARA,5914,"retinoic acid receptor, alpha"
SPG3A,51062,spastic paraplegia 3A (autosomal dominant)
RFC4,5984,"replication factor C (activator 1) 4, 37kDa"
LOXL2,4017,lysyl oxidase-like 2
ZNF689,115509,zinc finger protein 689
PEBP1,5037,phosphatidylethanolamine binding protein 1
VTI1A,143187,vesicle transport through interaction with t-SNAREs homolog 1A
PNMA3,29944,paraneoplastic antigen MA3
MAN1A2,10905,"mannosidase, alpha, class 1A, member 2"
CBX3,11335,"chromobox homolog 3 (HP1 gamma homolog, Drosophila)"
SAPS1,22870,"SAPS domain family, member 1"
TMED3,23423,transmembrane emp24 protein transport domain containing 3
C8orf79,57604,chromosome 8 open reading frame 79
WIPF1,7456,"WAS/WASL interacting protein family, member 1"
PPIA,5478,peptidylprolyl isomerase A (cyclophilin A)
ATP5J,522,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F6"
WASF1,8936,"WAS protein family, member 1"
OLFML3,56944,olfactomedin-like 3
FUT4,2526,"fucosyltransferase 4 (alpha (1,3) fucosyltransferase, myeloid-specific)"
LOC440338,440338,hypothetical gene supported by AJ002784
ZNF18,7566,zinc finger protein 18
SLC14A1,6563,"solute carrier family 14 (urea transporter), member 1 (Kidd blood group)"
EMP3,2014,epithelial membrane protein 3
TOM1,10043,target of myb1 (chicken)
BTN3A3,10384,"butyrophilin, subfamily 3, member A3"
HEG1,57493,HEG homolog 1 (zebrafish)
GRIN1,2902,"glutamate receptor, ionotropic, N-methyl D-aspartate 1"
FLRT2,23768,fibronectin leucine rich transmembrane protein 2
CASZ1,54897,castor zinc finger 1
LOC284422,284422,similar to HSPC323
TMEM41A,90407,transmembrane protein 41A
SMTNL2,342527,smoothelin-like 2
TULP1,7287,tubby like protein 1
ZNF593,51042,zinc finger protein 593
TAGLN2,8407,transgelin 2
STAP1,26228,signal transducing adaptor family member 1
SGSM2,9905,small G protein signaling modulator 2
TRH,7200,thyrotropin-releasing hormone
RPS13,6207,ribosomal protein S13
GJA1,2697,"gap junction protein, alpha 1, 43kDa"
BRI3,25798,brain protein I3
ATP1B3,483,"ATPase, Na+/K+ transporting, beta 3 polypeptide"
DSC2,1824,desmocollin 2
UBE3A,7337,"ubiquitin protein ligase E3A (human papilloma virus E6-associated protein, Angelman syndrome)"
CYCS,54205,"cytochrome c, somatic"
BLK,640,B lymphoid tyrosine kinase
HMGCL,3155,3-hydroxymethyl-3-methylglutaryl-Coenzyme A lyase (hydroxymethylglutaricaciduria)
IRAK1,3654,interleukin-1 receptor-associated kinase 1
TMEM40,55287,transmembrane protein 40
PHF10,55274,PHD finger protein 10
P11,8909,26 serine protease
RYR3,6263,ryanodine receptor 3
BIN2,51411,bridging integrator 2
PPYR1,5540,pancreatic polypeptide receptor 1
FLJ44342,645460,hypothetical LOC645460
HSD11B1,3290,hydroxysteroid (11-beta) dehydrogenase 1
CTSS,1520,cathepsin S
RPSA,3921,ribosomal protein SA
BUB3,9184,BUB3 budding uninhibited by benzimidazoles 3 homolog
HECA,51696,headcase homolog
CDK2AP2,10263,CDK2-associated protein 2
ZNF281,23528,zinc finger protein 281
ABCB9,23457,"ATP-binding cassette, sub-family B (MDR/TAP), member 9"
ANXA6,309,annexin A6
RPL28,6158,ribosomal protein L28
KLRD1,3824,"killer cell lectin-like receptor subfamily D, member 1"
CA11,770,carbonic anhydrase XI
CXorf41,139212,chromosome X open reading frame 41
VPS4B,9525,vacuolar protein sorting 4 homolog B
PSMC5,5705,"proteasome (prosome, macropain) 26S subunit, ATPase, 5"
LOC400986,400986,protein immuno-reactive with anti-PTH polyclonal antibodies
CCNA1,8900,cyclin A1
FKBP6,8468,"FK506 binding protein 6, 36kDa"
C1orf96,126731,chromosome 1 open reading frame 96
RAGE,5891,renal tumor antigen
PPL,5493,periplakin
KCNJ1,3758,"potassium inwardly-rectifying channel, subfamily J, member 1"
RUNX3,864,runt-related transcription factor 3
SRPK2,6733,SFRS protein kinase 2
CA13,377677,carbonic anhydrase XIII
BTF3L4,91408,basic transcription factor 3-like 4
SEPX1,51734,"selenoprotein X, 1"
CRY1,1407,cryptochrome 1 (photolyase-like)
SGPL1,8879,sphingosine-1-phosphate lyase 1
DOCK8,81704,dedicator of cytokinesis 8
PSMB3,5691,"proteasome (prosome, macropain) subunit, beta type, 3"
C4orf20,55325,chromosome 4 open reading frame 20
MOBKL1B,55233,"MOB1, Mps One Binder kinase activator-like 1B"
MAPBPIP,28956,mitogen-activated protein-binding protein-interacting protein
C11orf73,51501,chromosome 11 open reading frame 73
HLA-DMA,3108,"major histocompatibility complex, class II, DM alpha"
PPP2R3A,5523,"protein phosphatase 2 (formerly 2A), regulatory subunit B'', alpha"
GPR176,11245,G protein-coupled receptor 176
CYP17A1,1586,"cytochrome P450, family 17, subfamily A, polypeptide 1 (steroid 17-alpha-hydroxylase and 17,20-lyase)"
SDC1,6382,syndecan 1
PSMB10,5699,"proteasome (prosome, macropain) subunit, beta type, 10"
ZDHHC21,340481,"zinc finger, DHHC-type containing 21"
CYB5R2,51700,cytochrome b5 reductase 2
HRASLS,57110,HRAS-like suppressor
IQSEC1,9922,IQ motif and Sec7 domain 1
CKAP2,26586,cytoskeleton associated protein 2
CCDC53,51019,coiled-coil domain containing 53
MDS1,4197,myelodysplasia syndrome 1
CALR,811,calreticulin
TULP2,7288,tubby like protein 2
UBE2D4,51619,ubiquitin-conjugating enzyme E2D 4 (putative)
PLA2G3,50487,"phospholipase A2, group III"
ZNF710,374655,zinc finger protein 710
FRYL,285527,FRY-like
CPA2,1358,carboxypeptidase A2 (pancreatic)
EPHB1,2047,EPH receptor B1
MYH1,4619,"myosin, heavy chain 1, skeletal muscle, adult"
PPTC7,160760,PTC7 protein phosphatase homolog
UPB1,51733,"ureidopropionase, beta"
AMFR,267,autocrine motility factor receptor
SLC35E3,55508,"solute carrier family 35, member E3"
TRPC6,7225,"transient receptor potential cation channel, subfamily C, member 6"
ADRB1,153,"adrenergic, beta-1-, receptor"
EVI2B,2124,ecotropic viral integration site 2B
CCL5,6352,chemokine (C-C motif) ligand 5
TDGF1,6997,teratocarcinoma-derived growth factor 1
GOLT1A,127845,golgi transport 1 homolog A
TTC33,23548,tetratricopeptide repeat domain 33
EDN3,1908,endothelin 3
MAP2,4133,microtubule-associated protein 2
MPP5,64398,"membrane protein, palmitoylated 5 (MAGUK p55 subfamily member 5)"
MLLT4,4301,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 4"
LOC387723,387723,hypothetical LOC387723
GPR110,266977,G protein-coupled receptor 110
SNAP91,9892,"synaptosomal-associated protein, 91kDa homolog (mouse)"
KIAA0492,57238,KIAA0492 protein
GAS1,2619,growth arrest-specific 1
DHRS7B,25979,dehydrogenase/reductase (SDR family) member 7B
MDK,4192,midkine (neurite growth-promoting factor 2)
LIPE,3991,"lipase, hormone-sensitive"
DARC,2532,"Duffy blood group, chemokine receptor"
RBM18,92400,RNA binding motif protein 18
FLJ10404,54540,hypothetical protein FLJ10404
SLC10A1,6554,"solute carrier family 10 (sodium/bile acid cotransporter family), member 1"
PSMD11,5717,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 11"
PHF17,79960,PHD finger protein 17
CROCC,9696,"ciliary rootlet coiled-coil, rootletin"
CLK3,1198,CDC-like kinase 3
SCARF1,8578,"scavenger receptor class F, member 1"
SPARCL1,8404,"SPARC-like 1 (mast9, hevin)"
FEZ1,9638,fasciculation and elongation protein zeta 1 (zygin I)
POU6F1,5463,POU class 6 homeobox 1
SERTAD4,56256,SERTA domain containing 4
MDM2,4193,"Mdm2, transformed 3T3 cell double minute 2, p53 binding protein (mouse)"
TNNT3,7140,"troponin T type 3 (skeletal, fast)"
KRT81,3887,keratin 81
SLC2A3P1,6516,"solute carrier family 2 (facilitated glucose transporter), member 3 pseudogene 1"
MAPK6,5597,mitogen-activated protein kinase 6
RAB11FIP1,80223,RAB11 family interacting protein 1 (class I)
"FLJ39632,DUXAP10",642477,"hypothetical LOC642477, double homeobox A pseudogene 10"
PPP1R2,5504,"protein phosphatase 1, regulatory (inhibitor) subunit 2"
OTUD4,54726,OTU domain containing 4
SLC22A6,9356,"solute carrier family 22 (organic anion transporter), member 6"
IMP3,55272,"IMP3, U3 small nucleolar ribonucleoprotein, homolog"
MTF1,4520,metal-regulatory transcription factor 1
ENO2,2026,"enolase 2 (gamma, neuronal)"
FURIN,5045,furin (paired basic amino acid cleaving enzyme)
RUFY3,22902,RUN and FYVE domain containing 3
SLC7A8,23428,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 8"
MCPH1,79648,"microcephaly, primary autosomal recessive 1"
KCNJ8,3764,"potassium inwardly-rectifying channel, subfamily J, member 8"
ATXN2L,11273,ataxin 2-like
CLCN3,1182,chloride channel 3
PRR13,54458,proline rich 13
KIAA0556,23247,KIAA0556
PITPNM1,9600,"phosphatidylinositol transfer protein, membrane-associated 1"
NIPSNAP1,8508,nipsnap homolog 1 (C. elegans)
C16orf72,29035,chromosome 16 open reading frame 72
NUP88,4927,nucleoporin 88kDa
KIAA1462,57608,KIAA1462
FOSL2,2355,FOS-like antigen 2
CIITA,4261,"class II, major histocompatibility complex, transactivator"
LOC388335,388335,similar to RIKEN cDNA A730055C05 gene
PGRMC2,10424,progesterone receptor membrane component 2
PROM1,8842,prominin 1
BRPF3,27154,"bromodomain and PHD finger containing, 3"
FOXF2,2295,forkhead box F2
NUT,256646,nuclear protein in testis
RASSF7,8045,Ras association (RalGDS/AF-6) domain family 7
UNC45A,55898,unc-45 homolog A (C. elegans)
C1orf212,113444,chromosome 1 open reading frame 212
FLJ10986,55277,hypothetical protein FLJ10986
MIER1,57708,mesoderm induction early response 1 homolog (Xenopus laevis)
C1orf78,55194,chromosome 1 open reading frame 78
USP53,54532,ubiquitin specific peptidase 53
TOPORS,10210,"topoisomerase I binding, arginine/serine-rich"
KRT12,3859,keratin 12 (Meesmann corneal dystrophy)
POLE,5426,"polymerase (DNA directed), epsilon"
NLGN1,22871,neuroligin 1
C20orf112,140688,chromosome 20 open reading frame 112
SLC7A1,6541,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 1"
KCNB1,3745,"potassium voltage-gated channel, Shab-related subfamily, member 1"
LHX1,3975,LIM homeobox 1
EIF4G3,8672,"eukaryotic translation initiation factor 4 gamma, 3"
PGAM1,5223,phosphoglycerate mutase 1 (brain)
GJB2,2706,"gap junction protein, beta 2, 26kDa"
KIAA1618,57714,KIAA1618
SMEK2,57223,"SMEK homolog 2, suppressor of mek1 (Dictyostelium)"
KLC1,3831,kinesin light chain 1
ATP9A,10079,"ATPase, class II, type 9A"
BANF1,8815,barrier to autointegration factor 1
KRT13,3860,keratin 13
SLC12A3,6559,"solute carrier family 12 (sodium/chloride transporters), member 3"
SNHG5,387066,small nucleolar RNA host gene (non-protein coding) 5
ANKS1B,56899,ankyrin repeat and sterile alpha motif domain containing 1B
MAST3,23031,microtubule associated serine/threonine kinase 3
PCDHB6,56130,protocadherin beta 6
BCL3,602,B-cell CLL/lymphoma 3
ATP6V0A4,50617,"ATPase, H+ transporting, lysosomal V0 subunit a4"
R3HDM1,23518,R3H domain containing 1
CAB39,51719,calcium binding protein 39
NME2,4831,"non-metastatic cells 2, protein (NM23B) expressed in"
LOC388279,388279,hypothetical gene supported by AF275804
FRMD5,84978,FERM domain containing 5
SPRR3,6707,small proline-rich protein 3
ICHTHYIN,348938,ichthyin protein
WDR26,80232,WD repeat domain 26
PTH,5741,parathyroid hormone
C11orf75,56935,chromosome 11 open reading frame 75
SHMT2,6472,serine hydroxymethyltransferase 2 (mitochondrial)
ABCG2,9429,"ATP-binding cassette, sub-family G (WHITE), member 2"
DOCK7,85440,dedicator of cytokinesis 7
SIM2,6493,single-minded homolog 2
KRT83,3889,keratin 83
ZNF320,162967,zinc finger protein 320
LOC129607,129607,hypothetical protein LOC129607
CSAD,51380,cysteine sulfinic acid decarboxylase
MAST1,22983,microtubule associated serine/threonine kinase 1
OAZ3,51686,ornithine decarboxylase antizyme 3
ANKRD1,27063,ankyrin repeat domain 1 (cardiac muscle)
COL6A3,1293,"collagen, type VI, alpha 3"
ATP8B1,5205,"ATPase, class I, type 8B, member 1"
CORO1A,11151,"coronin, actin binding protein, 1A"
C14orf166,51637,chromosome 14 open reading frame 166
DKFZp666G057,283726,hypothetical protein DKFZp666G057
ACTL6A,86,actin-like 6A
SUSD5,26032,sushi domain containing 5
RSU1,6251,Ras suppressor protein 1
CSN2,1447,casein beta
CBR4,84869,carbonyl reductase 4
KIAA1045,23349,KIAA1045
UBA52,7311,ubiquitin A-52 residue ribosomal protein fusion product 1
UGT1A6,54578,"UDP glucuronosyltransferase 1 family, polypeptide A6"
LRRC8D,55144,"leucine rich repeat containing 8 family, member D"
GLRA2,2742,"glycine receptor, alpha 2"
SFRP1,6422,secreted frizzled-related protein 1
KLK3,354,kallikrein-related peptidase 3
COL1A2,1278,"collagen, type I, alpha 2"
SLC34A1,6569,"solute carrier family 34 (sodium phosphate), member 1"
HADH,3033,hydroxyacyl-Coenzyme A dehydrogenase
BEX4,56271,BEX family member 4
C9orf165,375704,chromosome 9 open reading frame 165
MAPK3,5595,mitogen-activated protein kinase 3
PAK1,5058,"p21/Cdc42/Rac1-activated kinase 1 (STE20 homolog, yeast)"
ACLY,47,ATP citrate lyase
C6orf145,221749,chromosome 6 open reading frame 145
CLDN15,24146,claudin 15
C21orf62,56245,chromosome 21 open reading frame 62
PTPRF,5792,"protein tyrosine phosphatase, receptor type, F"
PTRH1,138428,peptidyl-tRNA hydrolase 1 homolog
PDE4D,5144,"phosphodiesterase 4D, cAMP-specific (phosphodiesterase E3 dunce homolog, Drosophila)"
GABARAP,11337,GABA(A) receptor-associated protein
SF3A1,10291,"splicing factor 3a, subunit 1, 120kDa"
ST7OT1,93653,ST7 overlapping transcript 1 (antisense non-coding RNA)
C1orf56,54964,chromosome 1 open reading frame 56
SERPINC1,462,"serpin peptidase inhibitor, clade C (antithrombin), member 1"
PREB,10113,prolactin regulatory element binding
ZSWIM6,57688,"zinc finger, SWIM-type containing 6"
OS9,10956,amplified in osteosarcoma
C7orf40,285958,chromosome 7 open reading frame 40
BACE2,25825,beta-site APP-cleaving enzyme 2
RPL13A,23521,ribosomal protein L13a
ASAM,79827,adipocyte-specific adhesion molecule
KSR1,8844,kinase suppressor of ras 1
CCL4,6351,chemokine (C-C motif) ligand 4
CTSA,5476,cathepsin A
SUCLG2,8801,"succinate-CoA ligase, GDP-forming, beta subunit"
SLC43A3,29015,"solute carrier family 43, member 3"
SNAP25,6616,"synaptosomal-associated protein, 25kDa"
SMURF2,64750,SMAD specific E3 ubiquitin protein ligase 2
PLOD2,5352,"procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2"
ADH1C,126,"alcohol dehydrogenase 1C (class I), gamma polypeptide"
RNF5,6048,ring finger protein 5
BMX,660,BMX non-receptor tyrosine kinase
DAP,1611,death-associated protein
DUSP1,1843,dual specificity phosphatase 1
GUCA1A,2978,guanylate cyclase activator 1A (retina)
LRRC36,55282,leucine rich repeat containing 36
ZDHHC24,254359,"zinc finger, DHHC-type containing 24"
ARHGEF1,9138,Rho guanine nucleotide exchange factor (GEF) 1
RENBP,5973,renin binding protein
SREBF1,6720,sterol regulatory element binding transcription factor 1
P2RY1,5028,"purinergic receptor P2Y, G-protein coupled, 1"
ELA3B,23436,"elastase 3B, pancreatic"
DDN,23109,dendrin
GK,2710,glycerol kinase
GIF,2694,gastric intrinsic factor (vitamin B synthesis)
LIN7A,8825,lin-7 homolog A (C. elegans)
ACP6,51205,"acid phosphatase 6, lysophosphatidic"
CCND1,595,cyclin D1
MLLT1,4298,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 1"
NDST3,9348,N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 3
HTATSF1,27336,HIV-1 Tat specific factor 1
DENND2C,163259,DENN/MADD domain containing 2C
TNNI3K,51086,TNNI3 interacting kinase
TNNI3,7137,troponin I type 3 (cardiac)
ACADVL,37,"acyl-Coenzyme A dehydrogenase, very long chain"
RAB28,9364,"RAB28, member RAS oncogene family"
C1orf31,388753,chromosome 1 open reading frame 31
TFR2,7036,transferrin receptor 2
PLA2G4C,8605,"phospholipase A2, group IVC (cytosolic, calcium-independent)"
CLTA,1211,"clathrin, light chain (Lca)"
PCTK3,5129,PCTAIRE protein kinase 3
MARK2,2011,MAP/microtubule affinity-regulating kinase 2
LMO7,4008,LIM domain 7
GSTK1,373156,glutathione S-transferase kappa 1
C4orf19,55286,chromosome 4 open reading frame 19
VPS33A,65082,vacuolar protein sorting 33 homolog A
ACSS2,55902,acyl-CoA synthetase short-chain family member 2
RNPEPL1,57140,arginyl aminopeptidase (aminopeptidase B)-like 1
CASC3,22794,cancer susceptibility candidate 3
TMEM63A,9725,transmembrane protein 63A
DBN1,1627,drebrin 1
CAT,847,catalase
ATP5H,10476,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit d"
PLN,5350,phospholamban
MPP6,51678,"membrane protein, palmitoylated 6 (MAGUK p55 subfamily member 6)"
PCCB,5096,"propionyl Coenzyme A carboxylase, beta polypeptide"
CHIC2,26511,cysteine-rich hydrophobic domain 2
DZIP1,22873,DAZ interacting protein 1
DNALI1,7802,"dynein, axonemal, light intermediate chain 1"
FTO,79068,fat mass and obesity associated (alpha-ketoglutarate-dependent dioxygenase)
LGI2,55203,"leucine-rich repeat LGI family, member 2"
BATF,10538,"basic leucine zipper transcription factor, ATF-like"
PTGFRN,5738,prostaglandin F2 receptor negative regulator
TBCA,6902,tubulin folding cofactor A
YBX1,4904,Y box binding protein 1
EXOSC9,5393,exosome component 9
